gene	mean	median	longest_isoform	merged
LOC102725121	1610	1610	1610	3220
DDX11L1	1652	1652	1652	1652
SPECC1L	6052	6616	6763	7174
MIR6859-1	68	68	68	136
MIR6859-2	68	68	68	136
MIR6859-3	68	68	68	136
MIR6859-4	68	68	68	136
MIR1302-2	138	138	138	276
MIR1302-9	138	138	138	276
MIR1302-10	138	138	138	276
MIR1302-11	138	138	138	276
FAM138A	1130	1130	1130	2260
FAM138F	1130	1130	1130	2260
FAM138C	1130	1130	1130	2260
LOC729737	5474	5474	5474	5474
LOC100132287	4370	4370	4370	8740
LOC100132062	4370	4370	4370	8740
DPEP2NB	1185	1185	1185	1185
LOC101928626	798	798	798	798
PARD3	5182	5740	5980	6133
LOC100133331	4273	4273	4273	4273
LOC100288069	1371	1371	1371	1371
FAM87B	1944	1944	1944	1944
LINC00115	1317	1317	1317	1317
LINC01128	5924	6508	6776	9233
FAM41C	1706	1706	1706	1706
LINC02593	1476	1476	1506	1506
PDE9A	1814	1809	2191	2346
FKTN	7121	7508	7801	8157
PLEKHN1	3153	3176	3212	3212
RBFOX2	6804	6813	7224	7599
MATN2	4072	4075	4132	4132
NOLC1	3805	3726	3967	3970
UBQLN1	3826	3826	3868	3868
MAS1L	1260	1260	1260	1260
CATSPER1	2581	2581	2581	2581
LOC100288175	974	974	974	974
NCALD	3655	3656	3809	4245
ATRIP	4022	4535	4617	5083
LINC01342	1618	1618	1618	1618
SLC9A3R2	1918	1781	2160	2299
KLHDC9	1226	1226	1366	1366
NIT1	1712	1634	2094	3163
ZNF48	3010	2972	3233	3332
ESR2	2416	2393	4105	5260
IDE	5585	5895	6078	6781
CAP2	2854	2924	2949	3027
SCRN1	5208	5231	5276	5544
ALDH1L1	2956	2938	3187	3298
LMBR1	7697	7896	8144	8807
SCNN1D	3005	3005	3050	3054
STAG2	6125	6067	6334	6609
DCAF7	3842	3842	6324	6325
MIR6726	61	61	61	61
SNORD167	84	84	84	84
PUSL1	1272	1257	1343	1343
SIT1	1222	1222	1222	1222
ARHGEF16	2822	2822	2822	2822
CSF2RA	1911	1928	2272	2731
WASF2	5413	5413	5671	5671
USP15	12544	14969	16502	18606
MIR6727	65	65	65	65
EPN3	3879	3879	3879	3879
TMEM39B	1737	1660	2090	2206
GRK4	2229	2234	2372	2400
MIR6808	59	59	59	59
FBN1	11609	11609	11609	11609
MXRA8	2319	2293	2751	3135
CAPRIN2	4201	4361	4526	4800
ANAPC11	950	922	1186	1575
ZNF532	6137	6198	6724	7735
GUCA1C	978	978	981	1016
RAD9B	3718	4035	4376	4376
ACHE	2228	2165	2928	3511
MORF4L2	1934	1945	2034	2204
ANKRD30A	4405	4405	4405	4405
PAX3	2572	3026	3359	4122
GSTT2	1180	1189	1276	2426
DEFB119	464	444	581	844
ACYP1	629	619	790	940
RUNX2	3838	5512	5603	6066
MRPL20-AS1	1748	1748	1748	1748
SLC5A2	2107	2107	2267	2267
LINC01770	996	902	1194	1194
BABAM1	1399	1413	1498	1498
CDC20B	2938	2972	2984	2984
TCF4	7948	7945	8419	10713
CD74	2174	2249	2913	3277
TEAD3	2986	2986	2986	2986
FTO	4749	4214	11573	12145
NUCB2	1994	1986	2300	2888
LOC105378586	572	572	572	572
STOML3	1942	1942	1998	1998
NAT10	3865	3865	3973	3973
CFLAR	8370	8247	14612	21139
PPP1R9A	10030	10090	10547	10591
PPP6R3	5019	5071	5366	6053
WDR18	1824	1835	2116	2116
MMP23A	906	906	906	1812
INTS14	2323	2274	2678	2695
NCK1	4340	4417	4451	4544
ACOD1	2147	2147	2147	2147
AMELX	791	793	835	835
UBE2E3	1457	1462	1555	2073
UBAP2	3995	4154	4313	4737
RAX	3255	3255	3255	3255
KCNIP3	2987	2987	3083	3356
TONSL	4531	4531	4531	4531
AGGF1	4489	4489	4489	4489
SPSB4	2963	2963	2963	2963
SPSB3	1515	1515	1535	1592
OR1K1	951	951	951	951
PTPRA	3355	3311	3620	3975
ATXN7L2	2540	2551	2645	2777
MCF2L	6097	6438	6823	8357
AGL	7200	7169	7449	7647
NLRP2	3554	3534	3740	3871
NAP1L2	2551	2551	2551	2551
TEAD1	9417	9417	9417	9417
NEK11	2804	2850	3278	4303
MAST4	7501	9916	10675	11563
MRAS	4136	4083	4589	5121
PUF60	1894	1865	2205	2241
SFRP2	1996	1996	1996	1996
HDAC9	4906	4367	9972	14396
LOC105378591	540	540	540	540
SPG21	1710	1718	1799	1864
MASP2	1593	1593	2455	2611
NAP1L1	5616	4297	13159	14045
DZIP1L	2799	2799	3492	3903
RAP2C	3616	3576	3972	4068
MOSPD1	2267	2267	2348	2348
LINC01611	571	571	571	571
UBAC2	2600	2656	2886	2886
TFDP1	2525	2525	2639	2682
HAUS1	1092	1092	1112	1112
ISYNA1	2117	2090	2252	2560
PRKCZ-AS1	1253	1253	1253	1253
HYAL3	1505	1725	1878	1918
OPRL1	3237	3313	3402	3685
SLF2	3847	3726	6892	7620
PTGFRN	6313	6313	6313	6313
FAAP20	1724	1563	3575	6992
NUDT8	780	780	816	816
CES3	3628	3849	3858	4283
SH2B2	1883	1867	1975	2145
TSC1	8533	8544	8598	8598
LOC100129534	2247	2247	2247	2247
MBD1	3253	3066	4734	5774
EPS15L1	3049	2991	3548	5152
SRSF11	4028	3986	4912	5280
POLR2B	3967	3894	4223	4223
CNP	5204	5204	5236	5329
PLCH2	5381	5464	5811	6880
TNFRSF14-AS1	4619	4619	4619	4619
LOC100996583	698	698	698	698
TRPC4	7753	7727	7994	7994
ARNTL	2839	2863	3107	3749
MUC12	16321	16321	16321	16321
DIO1	1707	1717	1861	1861
SLC38A7	3950	3963	4233	4386
EIF3C	3155	3139	3259	6998
TLE4	4748	5002	5210	5634
MIR4251	61	61	61	61
AHSA1	1306	1306	1337	1453
LOC101928764	4664	4664	4664	4664
SURF4	2942	2930	3201	3399
MIR551A	95	95	95	95
PCDHGC5	3716	3716	4795	4972
COMMD9	2915	2931	2974	2974
ORMDL2	2019	2019	2019	2019
MYCT1	2543	2474	3043	4562
PRKACB	3136	2053	4634	6604
KRIT1	4618	4604	5072	5072
ZNF512	3556	3535	3703	3705
EPDR1	2328	2389	2513	2731
CDV3	3382	3351	4088	4424
SLC12A5	6035	6035	6045	6227
EPB41L2	3922	3998	4646	5023
FRMPD3	7311	7311	7311	7311
DIXDC1	4421	5496	5824	7660
RHOT2	2476	2490	2591	2759
MGME1	2112	2148	2276	2351
LGMN	1965	1952	2097	2097
HACD2	4169	4166	4261	4553
PBX3	2690	2726	2839	3085
PLCZ1	1886	2105	2108	2108
KRTAP5-3	899	899	899	899
ZNF287	7583	7674	7889	7970
PPAN	2417	2429	2520	2529
LINC01134	1952	1952	1952	1952
LINC01346	568	568	568	568
LINC01345	937	937	937	937
LINC01777	2074	2074	2074	2074
LINC01646	1026	1026	1026	1026
MIR4689	70	70	70	70
TAAR8	1048	1048	1048	1048
RPLP0	1184	1184	1264	1265
C19orf33	403	403	433	433
DISP2	12610	12610	12610	12610
SCGB3A2	516	516	516	516
GPR101	1527	1527	1527	1527
SRSF10	4866	4170	7656	8077
SUN1	3959	4096	4450	6923
STARD13	4916	5837	6228	7477
BRDT	3313	3347	3703	4051
ZC3H14	16930	17963	18334	19135
USPL1	4428	4403	4890	5090
FCGR3A	2218	2163	2384	2579
ZNF226	2078	2603	2790	3498
RUVBL1	1944	1899	2126	3047
RBMY1A1	1816	1810	1921	7506
KIF1A	8962	8920	9223	9325
TLCD3B	1924	1963	2325	2861
LOC102724450	378	378	378	378
HOPX	1309	1189	1673	1896
CT47A11	1293	1293	1293	12930
TUSC3	3805	3819	3899	6522
LRRC27	4227	1771	8251	9098
NAT14	1350	1350	1350	1350
CYSLTR2	4714	4714	4891	4891
PNPLA2	2414	2414	2414	2414
MIR4252	63	63	63	63
PNMA6E	2806	2555	3389	3416
TSHZ3	2615	2385	5065	7624
CABP5	1853	1853	1853	1853
RSPH3	6358	6273	6576	6576
HDAC10	2536	2536	2566	2566
ARRB1	7340	7340	7352	7352
GJA10	1652	1652	1652	1652
PLA1A	1722	1743	1784	1918
DNMT3B	4129	4171	4336	4630
C1orf159	2196	2324	2432	2432
PPP1R12B	10033	13625	15427	16338
ATF3	1987	1930	2251	2412
ADAMTS9	7581	7581	7623	7623
AFP	2355	2355	2426	2433
NOTCH2NLC	5445	5445	8720	10891
BORCS6	1836	1836	1836	1836
ALKBH4	2087	2087	2087	2087
MON2	13269	13263	13341	13402
TET2	9506	9506	9780	15321
DNAJB12	3218	2963	4125	4125
NDUFS7	1244	1244	1731	1731
THOC6	1323	1303	1411	1411
SMUG1	2534	2700	3227	3510
RASD2	3135	3133	3446	4215
RHOJ	3555	3555	3555	3555
THAP3	1590	1384	2095	2972
MIR876	81	81	81	81
MIR543	78	78	78	78
CAMTA1-DT	552	552	552	552
PHF1	2223	2251	2262	2262
NUDT15	2177	2429	2928	4729
NEURL2	1447	1447	1454	1454
MDM4	9696	9783	10050	10077
SIL1	1933	1933	1977	1977
VRK2	2055	1986	2499	2912
STAMBP	5472	6388	6944	7977
TMEM167B	2773	2799	2858	2919
LYPLAL1	1858	1863	1938	2141
PMS1	2877	3039	3521	5123
KLK6	1524	1551	1708	1810
EML3	3193	3159	3266	3269
RAN	2488	2492	2500	2546
UBE2D3	3872	3829	4201	5298
MDFI	1658	1649	1913	2184
RNASE1	969	983	997	1030
REV1	4871	4870	5225	5512
MAGI2	6954	6954	6975	6975
C11orf21	2858	2831	2914	3173
PXK	2960	2982	3226	3550
SETD9	1888	1400	4429	6358
RBMXL1	4871	4871	4987	5087
NANOGNB	907	907	907	907
EXOG	3181	3164	3619	4101
LDB2	2173	2383	2813	3327
MSANTD3	1813	1798	1883	2174
SEMA5B	4723	4728	4933	5818
CANX	4927	4928	5146	5464
CAMK2A	4910	4871	5023	5169
ESRRG	5320	5338	5714	8078
LINC01714	495	495	495	495
VGLL4	3496	3537	3775	4656
SUSD4	2025	2025	2987	3172
OR10J5	930	930	930	930
ITPR1	10116	10098	10197	10242
LETMD1	2066	2027	3464	4790
FAM122C	1723	1870	2467	6841
RERE-AS1	694	694	694	694
SNORD128	114	114	114	114
RCAN3	3755	2551	6863	7118
CEP83	2949	2973	3685	6245
MIR6728	89	89	89	89
ENO1-AS1	446	446	446	446
DYNLRB1	847	779	1114	2036
ISX	3073	3073	3073	3073
PPP4C	1384	1402	1461	1467
CELF3	5602	5579	5839	5839
LOC100128108	554	536	605	799
MIR34AHG	4157	4157	4157	4157
DLEU1	2436	2904	2957	3963
GANAB	3839	3842	4128	4359
SLC26A4-AS1	3888	3888	3888	3888
KCNMB3	1620	1661	2127	3495
LINC02606	2363	2363	2363	2438
CLTB	1374	1373	1737	2562
EML1	4441	4462	4515	4654
PIK3CD-AS1	1823	1823	1823	1823
PIK3CD-AS2	674	534	958	958
KHDC1	1322	1374	1447	3024
PRR7	1514	1461	1897	2508
CIDEB	2469	2469	2540	2540
LY86	859	859	859	859
MED7	1725	1725	2067	2442
MED27	1141	1277	1385	1777
WDR13	5785	5766	6479	6479
ASB6	4544	4535	4603	4622
BLOC1S2	2697	2686	2785	2939
MYADM	3145	3099	3587	3934
BEST1	3220	3284	4470	5360
STOML1	4485	6097	6585	6841
GSG1L	4955	5051	5182	5280
TMEM274P	444	444	444	444
MIR5697	78	78	78	78
NEDD9	4333	4522	4976	7743
TAPBPL	1906	1873	2048	2234
CCR5	3543	3543	3661	3661
ZNF654	6286	6302	6460	6494
PCDH11Y	5979	5040	9043	10942
BUB1	3601	3576	3762	3806
ATG4A	2465	2395	3038	3128
TIMM9	1042	1025	1271	1336
TIMM8B	981	1082	1093	1112
TIMM10	668	668	668	668
PSD4	11342	11342	11342	11342
ST6GAL2	5613	6800	6864	7384
TIAM2	4290	4290	5916	6041
ANTXR1	3291	2346	5893	7123
CTAG2	876	876	988	993
RNU6-1	105	106	106	741
RNU6-9	106	107	107	745
RNU6-7	106	106	107	743
RNU6-8	106	106	107	743
RNU6-2	106	107	107	745
CHN2-AS1	1298	1298	1298	1298
MUC12-AS1	395	395	407	407
WDR73	3263	3188	3618	3831
CDCA3	1666	1701	1808	1987
MAPKAPK5	9937	10987	11089	11089
CCDC138	2275	2285	2632	3275
ZYG11B	8143	8143	8143	8143
MANEA	4578	4578	4578	4578
UPF3A	2004	2060	2498	4082
TRPV1	4179	4127	4416	4951
HNRNPUL1	3722	3761	3925	4214
ADAMTS5	9621	9621	9621	9621
NCOA5	3178	3176	3243	3243
CCNC	2213	2153	2402	2402
HSPD1	2273	2273	2301	2360
QKI	12883	14056	16282	16282
EXOSC10-AS1	452	445	541	607
ANKRD50	8160	8160	8798	8798
SLC25A31	1838	1838	1864	1864
SYCP1	3499	3492	3564	3627
MTOR-AS1	706	706	706	706
KDM5C	5233	5051	5809	6754
TRAK1	4825	5062	5236	10320
UBE3A	8257	8764	9169	11337
LINC01647	1284	1284	1284	1284
NAV3	10186	10186	10219	10219
TCERG1	4599	4599	4631	4631
CA7	1579	1517	1709	1823
SMPD4	3711	3614	3920	3920
FBXO44	2932	2910	3320	3495
TMEM126B	1229	1111	1829	2567
BLNK	1570	1538	1823	1828
SEC23IP	6880	6880	7147	7147
DONSON	2498	2498	2498	2498
TPRKB	777	800	882	1068
CARD8	4890	5276	5917	8100
PCF11	7729	7729	7927	7927
SF1	2940	2949	3364	4228
CLCN6	5634	5632	5682	5708
ASMTL	2043	2048	2065	2210
CTSS	3861	3861	3936	3936
NPPA-AS1	1662	1662	1662	1662
CRHR1	2482	2493	2624	2664
RNU5E-1	119	119	119	119
ANKLE2	4589	4589	4589	4589
OPALIN	3504	3565	3700	4009
DTNB	2392	2332	3834	6882
DDX6	6140	6140	6154	6221
MIR6729	65	65	65	65
R3HCC1L	3262	3393	3656	4058
MIR7846	96	96	96	96
MIR4632	61	61	61	61
WDPCP	4425	4791	5146	5675
KLK10	2979	2984	3007	3137
C1QTNF9	1860	1850	1908	1971
MRPL1	1175	1175	1175	1175
BBX	8642	8919	9009	9009
ADPRM	1534	1534	1534	1534
ELAVL2	3899	3962	4076	5350
SNORA59B	152	152	152	304
SNORA59A	152	152	152	304
SSBP3	3205	3192	3252	3252
MIR6730	44	44	67	88
MSRA	1513	1525	1613	1980
NBEAL1	9058	9058	9058	9058
UQCR11	1299	1299	1299	1299
C2orf80	1195	1195	1195	1195
LRIG2	11622	11622	11678	11678
PRAMEF1	1813	1813	2160	2436
LINC01784	442	442	442	442
HLA-C	1564	1564	1586	1586
FLOT2	2668	2668	2668	2759
WNT11	1900	1900	1900	1900
CCDC112	2339	2338	2542	2770
CD14	1517	1533	1648	1648
ZEB1	6166	6173	6706	8235
GLB1L	2555	2713	2725	2725
PRAMEF36P	2214	2214	2215	4429
PRAMEF34P	2214	2214	2215	4429
ZNF562	10857	12504	12639	12639
RGR	1686	1475	2235	2247
ZNF207	2276	2275	2323	2323
FNDC3A	6194	6275	6329	6685
CREM	1894	1936	2549	6158
SCFD1	2106	2143	2190	2318
CACNA1G	8252	8238	8599	8620
STK3	2842	2833	3208	3384
OPRM1	7571	2569	15844	19742
FGL1	1353	1356	1464	1558
LSM14B	2574	2574	2574	2574
ZNF558	5212	5212	7008	7569
BOLA2B	357	357	375	754
KAZN-AS1	1247	1247	1247	1247
NTMT1	1475	1484	1688	2063
DBNL	8539	9870	9896	9958
TSSC4	1661	1613	2159	2468
TMEM51-AS1	6979	6979	6979	6979
SUMF1	2111	2101	2147	2161
COX7A2L	1433	1302	2282	4275
C1orf195	434	434	453	719
C1RL	2685	3272	3382	3674
PRMT7	3574	3683	4224	4856
PLXNC1	5642	5642	7492	7637
GDPD3	1078	1078	1078	1078
YJEFN3	904	904	979	979
FBXO11	4200	3996	4760	5100
RBMX	2009	2005	2116	3420
AGAP1	7945	10730	10889	11411
DNAJC16	6060	6034	6264	6299
CHRNA10	1964	1945	2007	2007
SCARNA21B	139	139	139	139
VPS53	5593	3140	13089	14063
TRPM4	3707	3707	4058	4058
TMEM161A	2096	2096	2251	2251
SLC25A34-AS1	633	633	633	633
ARHGEF9	5048	5175	5555	6445
FLJ37453	2732	2732	2732	2732
ZNF41	4948	4984	5359	5758
ZBTB17	2657	2656	2772	2794
XPNPEP1	2482	2467	2754	3059
OR2L13	1983	1983	2046	2046
ESRP2	3383	3429	3459	3459
TANGO2	3492	3479	3834	4444
TDRD5	3438	3608	3745	4284
C10orf90	3048	3140	3818	4450
CARS1	2650	2737	2784	2792
SDR16C5	3499	3494	3641	3641
NOL10	3429	3436	3498	3510
C1orf131	1428	1428	1430	1430
C1orf87	2028	2028	2028	2028
UBXN10	5562	5562	5562	5562
KLHDC7A	5057	5057	5057	5057
IMPDH1	2467	2454	2611	2755
CHD1L	2764	2782	3795	4179
A3GALT2	1023	1023	1023	1023
SPATA21	2496	2031	3442	3806
IZUMO1	1242	1146	1657	1724
ZSCAN1	2095	2095	2095	2095
NECAP2	2008	2005	2018	2081
LCORL	5268	5404	6670	12195
LINC01772	2467	2467	3245	3245
CROCCP3	5368	5368	5368	5368
RNVU1-18	164	164	164	820
RNU1-3	164	164	164	820
RNU1-4	164	164	164	820
RNU1-2	164	164	164	820
RNU1-1	164	164	164	820
LOC440570	2568	2568	2569	5136
LINC01783	1546	1546	1546	1546
MIR3675	73	74	74	221
STK36	4825	4810	4873	4923
FAM8A1	4726	4726	4726	4726
CROCCP2	1765	1765	1765	1765
MST1P2	2636	2636	2636	2636
ESPNP	2015	2015	2015	2015
SAP130	4064	4081	4173	4304
LOC102724562	1797	1797	1797	1797
LOC105376805	437	437	511	630
RBM41	6408	6694	7726	8274
ITPA	1090	1038	1278	2223
ACBD5	3852	3854	4233	6234
ZSWIM8	6056	6061	6135	6164
ST18	5763	6187	6551	13558
EIF1AX	4414	4414	4414	4414
ECH1	1200	1200	1200	1200
CLASP2	6977	7157	7244	7652
ATP5F1E	3610	3610	3610	3610
SHOX2	3284	3223	3478	3586
SHOX	2854	2854	3757	4384
CSRP2	895	895	908	908
KANK1	5285	5283	5828	7814
ASPSCR1	1825	1773	2046	2121
SNORD73B	75	75	75	75
KCNN2	2345	2096	3822	4351
MIR3972	87	87	87	87
CADM3	3727	3739	3841	3841
IFT122	4060	4054	4414	4570
PAQR8	4715	4715	4715	4715
GINS1	3363	3363	3415	3433
LMLN	7029	7029	7154	7154
